DOF,F Value
395,0.00000000000000000e+00
396,0.00000000000000000e+00
397,-6.54999938677004057e+00
398,0.00000000000000000e+00
399,0.00000000000000000e+00
400,0.00000000000000000e+00
401,0.00000000000000000e+00
402,0.00000000000000000e+00
403,-6.64999973707602710e+00
404,0.00000000000000000e+00
405,0.00000000000000000e+00
406,0.00000000000000000e+00
407,0.00000000000000000e+00
408,0.00000000000000000e+00
409,-6.75000061855483224e+00
410,0.00000000000000000e+00
411,0.00000000000000000e+00
412,0.00000000000000000e+00
413,0.00000000000000000e+00
414,0.00000000000000000e+00
415,-6.85000133579118486e+00
416,0.00000000000000000e+00
417,0.00000000000000000e+00
418,0.00000000000000000e+00
419,0.00000000000000000e+00
420,0.00000000000000000e+00
421,-6.95000141224898815e+00
422,0.00000000000000000e+00
423,0.00000000000000000e+00
424,0.00000000000000000e+00
425,0.00000000000000000e+00
426,0.00000000000000000e+00
427,-7.05000073510289837e+00
428,0.00000000000000000e+00
429,0.00000000000000000e+00
430,0.00000000000000000e+00
431,0.00000000000000000e+00
432,0.00000000000000000e+00
433,-7.14999991844556781e+00
434,0.00000000000000000e+00
435,0.00000000000000000e+00
436,0.00000000000000000e+00
437,0.00000000000000000e+00
438,0.00000000000000000e+00
439,-7.24999956192253414e+00
440,0.00000000000000000e+00
441,0.00000000000000000e+00
442,0.00000000000000000e+00
443,0.00000000000000000e+00
444,0.00000000000000000e+00
445,-7.34999999858179720e+00
446,0.00000000000000000e+00
447,0.00000000000000000e+00
448,0.00000000000000000e+00
449,0.00000000000000000e+00
450,0.00000000000000000e+00
451,-7.45000089485892669e+00
452,0.00000000000000000e+00
453,0.00000000000000000e+00
454,0.00000000000000000e+00
455,0.00000000000000000e+00
456,0.00000000000000000e+00
457,-7.55000156134490386e+00
458,0.00000000000000000e+00
459,0.00000000000000000e+00
460,0.00000000000000000e+00
461,0.00000000000000000e+00
462,0.00000000000000000e+00
463,-7.65000154661361265e+00
464,0.00000000000000000e+00
465,0.00000000000000000e+00
466,0.00000000000000000e+00
467,0.00000000000000000e+00
468,0.00000000000000000e+00
469,-7.75000081562794207e+00
470,0.00000000000000000e+00
471,0.00000000000000000e+00
472,0.00000000000000000e+00
473,0.00000000000000000e+00
474,0.00000000000000000e+00
475,-7.85000001882755605e+00
476,0.00000000000000000e+00
477,0.00000000000000000e+00
478,0.00000000000000000e+00
479,0.00000000000000000e+00
480,0.00000000000000000e+00
481,-7.94999972675068900e+00
482,0.00000000000000000e+00
483,0.00000000000000000e+00
484,0.00000000000000000e+00
485,0.00000000000000000e+00
486,0.00000000000000000e+00
487,-8.05000023813062171e+00
488,0.00000000000000000e+00
489,0.00000000000000000e+00
490,0.00000000000000000e+00
491,0.00000000000000000e+00
492,0.00000000000000000e+00
493,-8.15000114037204426e+00
494,0.00000000000000000e+00
495,0.00000000000000000e+00
496,0.00000000000000000e+00
497,0.00000000000000000e+00
498,0.00000000000000000e+00
499,-8.25000175751641507e+00
500,0.00000000000000000e+00
501,0.00000000000000000e+00
502,0.00000000000000000e+00
503,0.00000000000000000e+00
504,0.00000000000000000e+00
505,-8.35000166266559951e+00
506,0.00000000000000000e+00
507,0.00000000000000000e+00
508,0.00000000000000000e+00
509,0.00000000000000000e+00
510,0.00000000000000000e+00
511,-8.45000090030345774e+00
512,0.00000000000000000e+00
513,0.00000000000000000e+00
514,0.00000000000000000e+00
515,0.00000000000000000e+00
516,0.00000000000000000e+00
517,-8.55000013923525337e+00
518,0.00000000000000000e+00
519,0.00000000000000000e+00
520,0.00000000000000000e+00
521,0.00000000000000000e+00
522,0.00000000000000000e+00
523,-8.64999991615300523e+00
524,0.00000000000000000e+00
525,0.00000000000000000e+00
526,0.00000000000000000e+00
527,0.00000000000000000e+00
528,0.00000000000000000e+00
529,-8.75000048871267389e+00
530,0.00000000000000000e+00
531,0.00000000000000000e+00
532,0.00000000000000000e+00
533,0.00000000000000000e+00
534,0.00000000000000000e+00
535,-8.85000138700110206e+00
536,0.00000000000000000e+00
537,0.00000000000000000e+00
538,0.00000000000000000e+00
539,0.00000000000000000e+00
540,0.00000000000000000e+00
541,-8.95000196860576303e+00
542,0.00000000000000000e+00
543,0.00000000000000000e+00
544,0.00000000000000000e+00
545,0.00000000000000000e+00
546,0.00000000000000000e+00
547,-9.05000183121834745e+00
548,0.00000000000000000e+00
549,0.00000000000000000e+00
550,0.00000000000000000e+00
551,0.00000000000000000e+00
552,0.00000000000000000e+00
553,-9.15000106906732036e+00
554,0.00000000000000000e+00
555,0.00000000000000000e+00
556,0.00000000000000000e+00
557,0.00000000000000000e+00
558,0.00000000000000000e+00
559,-9.25000029630988685e+00
560,0.00000000000000000e+00
561,0.00000000000000000e+00
562,0.00000000000000000e+00
563,0.00000000000000000e+00
564,0.00000000000000000e+00
565,-9.35000000114763807e+00
566,0.00000000000000000e+00
567,0.00000000000000000e+00
568,0.00000000000000000e+00
569,0.00000000000000000e+00
570,0.00000000000000000e+00
571,-9.45000044466044642e+00
572,0.00000000000000000e+00
573,0.00000000000000000e+00
574,0.00000000000000000e+00
575,0.00000000000000000e+00
576,0.00000000000000000e+00
577,-9.55000133543062546e+00
578,0.00000000000000000e+00
579,0.00000000000000000e+00
580,0.00000000000000000e+00
581,0.00000000000000000e+00
582,0.00000000000000000e+00
583,-9.65000224969615950e+00
584,0.00000000000000000e+00
585,0.00000000000000000e+00
586,0.00000000000000000e+00
587,0.00000000000000000e+00
588,0.00000000000000000e+00
589,-9.75000276369493868e+00
590,0.00000000000000000e+00
591,0.00000000000000000e+00
592,0.00000000000000000e+00
593,0.00000000000000000e+00
