2025-06-18 15:55:41,556 [DEBUG] 📁 Log file created at: \\mull.sms.ed.ac.uk\home\s1834431\Win7\Desktop\fem_model\post_processing\results\job_0011_2025-06-18_15-55-33-619286_pid33080_9a2e6874\logs\ModifyGlobalSystem.log (Module: modification, Line: 97)
2025-06-18 15:55:41,557 [INFO] 🔧 Applying stabilized boundary conditions... (Module: modification, Line: 115)
2025-06-18 15:55:41,558 [DEBUG] Computed penalty value: 4.48e+51 (Module: modification, Line: 172)
2025-06-18 15:55:41,559 [DEBUG] 
======================================== System Diagnostics ======================================== (Module: modification, Line: 263)
2025-06-18 15:55:41,560 [DEBUG] Original Non-zeros: 1204
Modified Non-zeros: 1198
Penalty Value: 4.48e+51
Stabilization Factor: 4.48e+41 (Module: modification, Line: 275)
2025-06-18 15:55:41,577 [DEBUG] 
Matrix Sample (COO format):
 Row  Col         Value
 600  594 -2.000000e+11
  55   49 -5.600112e+14
 236  236  4.480022e+15
 510  516 -2.000000e+11
 420  420  4.000000e+11
 162  162  4.000000e+11
 260  254 -2.240011e+15
 303  309 -6.565378e+07
 422  416 -2.240011e+15
 294  288 -2.000000e+11
  31   31  1.120022e+15
 422  422  4.480022e+15
 513  507 -6.565378e+07
 543  537 -6.565378e+07
 332  326 -2.240011e+15
 547  553 -5.600112e+14
 471  465 -6.565378e+07
 240  240  4.000000e+11
 339  333 -6.565378e+07
 252  246 -2.000000e+11
 331  331  1.120022e+15
 356  350 -2.240011e+15
 343  337 -5.600112e+14
 144  138 -2.000000e+11
 399  405 -6.565378e+07
 187  187  1.120022e+15
 476  476  4.480022e+15
 144  144  4.000000e+11
 535  529 -5.600112e+14
 338  338  4.480022e+15
 530  536 -2.240011e+15
 578  578  4.480022e+15
 108  102 -2.000000e+11
 120  114 -2.000000e+11
 241  241  1.120022e+15
  98  104 -2.240011e+15
 246  246  4.000000e+11
 432  432  4.000000e+11
  75   81 -6.565378e+07
 231  237 -6.565378e+07
 163  163  1.120022e+15
 159  159  1.313076e+08
 132  132  4.000000e+11
 319  313 -5.600112e+14
 243  237 -6.565378e+07
 571  571  1.120022e+15
 561  555 -6.565378e+07
  75   75  1.313076e+08
 447  441 -6.565378e+07
 504  498 -2.000000e+11
  69   63 -6.565378e+07
 129  129  1.313076e+08
 169  169  1.120022e+15
 439  433 -5.600112e+14
 111  105 -6.565378e+07
 265  259 -5.600112e+14
 223  223  1.120022e+15
 493  499 -5.600112e+14
 277  277  1.120022e+15
