Global DOF,U Value
301,-3.05266378371268847e-05
302,0.00000000000000000e+00
303,0.00000000000000000e+00
304,-0.00000000000000000e+00
305,-7.47009248338069579e-07
306,0.00000000000000000e+00
307,-3.12736470853546835e-05
308,0.00000000000000000e+00
309,0.00000000000000000e+00
310,-0.00000000000000000e+00
311,-7.47009248080983856e-07
312,0.00000000000000000e+00
313,-3.20206563333315166e-05
314,0.00000000000000000e+00
315,0.00000000000000000e+00
316,-0.00000000000000000e+00
317,-7.47009247838197214e-07
318,0.00000000000000000e+00
319,-3.27676655810714312e-05
320,0.00000000000000000e+00
321,0.00000000000000000e+00
322,-0.00000000000000000e+00
323,-7.47009247609091213e-07
324,0.00000000000000000e+00
325,-3.35146748285882102e-05
326,0.00000000000000000e+00
327,0.00000000000000000e+00
328,-0.00000000000000000e+00
329,-7.47009247393911069e-07
330,0.00000000000000000e+00
331,-3.42616840758960635e-05
332,0.00000000000000000e+00
333,0.00000000000000000e+00
334,-0.00000000000000000e+00
335,-7.47009247193340126e-07
336,0.00000000000000000e+00
337,-3.50086933230099530e-05
338,0.00000000000000000e+00
339,0.00000000000000000e+00
340,-0.00000000000000000e+00
341,-7.47009247008217475e-07
342,0.00000000000000000e+00
343,-3.57557025699452202e-05
344,0.00000000000000000e+00
345,0.00000000000000000e+00
346,-0.00000000000000000e+00
347,-7.47009246838252056e-07
348,0.00000000000000000e+00
349,-3.65027118167166034e-05
350,0.00000000000000000e+00
351,0.00000000000000000e+00
352,-0.00000000000000000e+00
353,-7.47009246682426899e-07
354,0.00000000000000000e+00
355,-3.72497210633382990e-05
356,0.00000000000000000e+00
357,0.00000000000000000e+00
358,-0.00000000000000000e+00
359,-7.47009246540945821e-07
360,0.00000000000000000e+00
361,-3.79967303098245710e-05
362,0.00000000000000000e+00
363,0.00000000000000000e+00
364,-0.00000000000000000e+00
365,-7.47009246413589441e-07
366,0.00000000000000000e+00
367,-3.87437395561889786e-05
368,0.00000000000000000e+00
369,0.00000000000000000e+00
370,-0.00000000000000000e+00
371,-7.47009246299031623e-07
372,0.00000000000000000e+00
373,-3.94907488024437260e-05
374,0.00000000000000000e+00
375,0.00000000000000000e+00
376,-0.00000000000000000e+00
377,-7.47009246195845646e-07
378,0.00000000000000000e+00
379,-4.02377580485993298e-05
380,0.00000000000000000e+00
381,0.00000000000000000e+00
382,-0.00000000000000000e+00
383,-7.47009246102117850e-07
384,0.00000000000000000e+00
385,-4.09847672946656429e-05
386,0.00000000000000000e+00
387,0.00000000000000000e+00
388,-0.00000000000000000e+00
389,-7.47009246018746938e-07
390,0.00000000000000000e+00
391,-4.17317765406527617e-05
392,0.00000000000000000e+00
393,0.00000000000000000e+00
394,-0.00000000000000000e+00
395,-7.47009245945092871e-07
396,0.00000000000000000e+00
397,-4.24787857865707694e-05
398,0.00000000000000000e+00
399,0.00000000000000000e+00
400,-0.00000000000000000e+00
401,-7.47009245882048950e-07
402,0.00000000000000000e+00
403,-4.32257950324298101e-05
404,0.00000000000000000e+00
405,0.00000000000000000e+00
406,-0.00000000000000000e+00
407,-7.47009245828514561e-07
408,0.00000000000000000e+00
409,-4.39728042782397229e-05
410,0.00000000000000000e+00
411,0.00000000000000000e+00
412,-0.00000000000000000e+00
413,-7.47009245785271094e-07
414,0.00000000000000000e+00
415,-4.47198135240098793e-05
416,0.00000000000000000e+00
417,0.00000000000000000e+00
418,-0.00000000000000000e+00
419,-7.47009245750097839e-07
420,0.00000000000000000e+00
421,-4.54668227697474148e-05
422,0.00000000000000000e+00
423,0.00000000000000000e+00
424,-0.00000000000000000e+00
425,-7.47009245720858686e-07
426,0.00000000000000000e+00
427,-4.62138320154579198e-05
428,0.00000000000000000e+00
429,0.00000000000000000e+00
430,-0.00000000000000000e+00
431,-7.47009245696797232e-07
432,0.00000000000000000e+00
433,-4.69608412611469779e-05
434,0.00000000000000000e+00
435,0.00000000000000000e+00
436,-0.00000000000000000e+00
437,-7.47009245678836110e-07
438,0.00000000000000000e+00
439,-4.77078505068204709e-05
440,0.00000000000000000e+00
441,0.00000000000000000e+00
442,-0.00000000000000000e+00
443,-7.47009245666442219e-07
444,0.00000000000000000e+00
445,-4.84548597524838266e-05
446,0.00000000000000000e+00
447,0.00000000000000000e+00
448,-0.00000000000000000e+00
449,-7.47009245659314013e-07
450,0.00000000000000000e+00
451,-4.92018689981421069e-05
452,0.00000000000000000e+00
453,0.00000000000000000e+00
454,-0.00000000000000000e+00
455,-7.47009245656948567e-07
456,0.00000000000000000e+00
457,-4.99488782437991337e-05
458,0.00000000000000000e+00
459,0.00000000000000000e+00
460,-0.00000000000000000e+00
461,-7.47009245657157149e-07
462,0.00000000000000000e+00
463,-5.06958874894568515e-05
464,0.00000000000000000e+00
465,0.00000000000000000e+00
466,-0.00000000000000000e+00
467,-7.47009245658468992e-07
468,0.00000000000000000e+00
469,-5.14428967351156333e-05
470,0.00000000000000000e+00
471,0.00000000000000000e+00
472,-0.00000000000000000e+00
473,-7.47009245659200616e-07
474,0.00000000000000000e+00
475,-5.21899059807754993e-05
476,0.00000000000000000e+00
477,0.00000000000000000e+00
478,-0.00000000000000000e+00
479,-7.47009245660738087e-07
480,0.00000000000000000e+00
481,-5.29369152264369441e-05
482,0.00000000000000000e+00
483,0.00000000000000000e+00
484,-0.00000000000000000e+00
485,-7.47009245662382495e-07
486,0.00000000000000000e+00
487,-5.36839244720999881e-05
488,0.00000000000000000e+00
489,0.00000000000000000e+00
490,-0.00000000000000000e+00
491,-7.47009245663948130e-07
492,0.00000000000000000e+00
493,-5.44309337177647059e-05
494,0.00000000000000000e+00
495,0.00000000000000000e+00
496,-0.00000000000000000e+00
497,-7.47009245665740558e-07
498,0.00000000000000000e+00
499,-5.51779429634305350e-05
500,0.00000000000000000e+00
501,0.00000000000000000e+00
502,-0.00000000000000000e+00
503,-7.47009245665894823e-07
504,0.00000000000000000e+00
505,-5.59249522090948868e-05
506,0.00000000000000000e+00
507,0.00000000000000000e+00
508,-0.00000000000000000e+00
509,-7.47009245662239347e-07
510,0.00000000000000000e+00
511,-5.66719614547549222e-05
512,0.00000000000000000e+00
513,0.00000000000000000e+00
514,-0.00000000000000000e+00
515,-7.47009245657069693e-07
516,0.00000000000000000e+00
517,-5.74189707004082761e-05
518,0.00000000000000000e+00
519,0.00000000000000000e+00
520,-0.00000000000000000e+00
521,-7.47009245648328737e-07
522,0.00000000000000000e+00
523,-5.81659799460518791e-05
524,0.00000000000000000e+00
525,0.00000000000000000e+00
526,-0.00000000000000000e+00
527,-7.47009245637251451e-07
528,0.00000000000000000e+00
529,-5.89129891916838539e-05
530,0.00000000000000000e+00
531,0.00000000000000000e+00
532,-0.00000000000000000e+00
533,-7.47009245624925216e-07
534,0.00000000000000000e+00
535,-5.96599984373027913e-05
536,0.00000000000000000e+00
537,0.00000000000000000e+00
538,-0.00000000000000000e+00
539,-7.47009245610941020e-07
540,0.00000000000000000e+00
541,-6.04070076829070241e-05
542,0.00000000000000000e+00
543,0.00000000000000000e+00
544,-0.00000000000000000e+00
545,-7.47009245595277475e-07
546,0.00000000000000000e+00
547,-6.11540169284961933e-05
548,0.00000000000000000e+00
549,0.00000000000000000e+00
550,-0.00000000000000000e+00
551,-7.47009245581038004e-07
552,0.00000000000000000e+00
553,-6.19010261740713898e-05
554,0.00000000000000000e+00
555,0.00000000000000000e+00
556,-0.00000000000000000e+00
557,-7.47009245567429784e-07
558,0.00000000000000000e+00
559,-6.26480354196332778e-05
560,0.00000000000000000e+00
561,0.00000000000000000e+00
562,-0.00000000000000000e+00
563,-7.47009245554510520e-07
564,0.00000000000000000e+00
565,-6.33950446651829007e-05
566,0.00000000000000000e+00
567,0.00000000000000000e+00
568,-0.00000000000000000e+00
569,-7.47009245543125127e-07
570,0.00000000000000000e+00
571,-6.41420539107217087e-05
572,0.00000000000000000e+00
573,0.00000000000000000e+00
574,-0.00000000000000000e+00
575,-7.47009245533083657e-07
576,0.00000000000000000e+00
577,-6.48890631562509487e-05
578,0.00000000000000000e+00
579,0.00000000000000000e+00
