r/R,f_y [N/m],V_y [N],M_z [Nm],f_z [N/m],V_z [N],M_y [Nm],m_x [Nm/m],T [Nm]
0.6798857142857143,218.62735,55.84534071055449,-6.258221800545931,-48.787239,-10.198805540226207,1.0534441228845604,0.368426,0.09205059068689656
0.6913142857142858,222.437685,54.07134672150621,-5.81612930323298,-48.932836,-9.80576865926069,0.9729843458284171,0.365488,0.08909873796413793
0.7027428571428572,224.995741,52.27173862465656,-5.388410079964827,-48.788259,-9.412727675784827,0.8956862281553237,0.362348,0.08617133137655172
0.7141714285714286,228.237838,50.44880191243035,-4.975260981749454,-48.968024,-9.019545163746207,0.8215503556034995,0.375195,0.08320488256551724
0.7256000000000001,230.889976,48.60215818053518,-4.576871189154851,-48.899074,-8.625916946135172,0.7505790900691353,0.377397,0.08017790563862069
0.7370285714285716,233.821447,46.73305678816552,-4.193426379708325,-48.929872,-8.23244217849931,0.6827736070243985,0.389757,0.07709235934344828
0.7484571428571429,236.715759,44.84052369479173,-3.825111123586527,-49.085357,-7.8382181677903455,0.6181363027902183,0.401647,0.07390927787586207
0.7598857142857143,239.789693,42.92398590440276,-3.472116213253767,-49.183836,-7.442972696358622,0.5566742992593791,0.416093,0.0706202712
0.7713142857142857,243.189471,40.9814103978869,-3.1346429227469024,-50.461566,-7.042192017417932,0.49841396780369296,0.432259,0.06720814094896552
0.7827428571428572,248.136875,39.00526194969931,-2.81293101024268,-50.136879,-6.637578133804139,0.44339298882305356,0.444641,0.06368118867310345
0.7941714285714285,252.886151,36.99011278581517,-2.507272371996114,-50.325701,-6.233510708590345,0.3916245818376435,0.441387,0.06011752295172414
0.8056,257.457595,34.93747504328276,-2.2179746532241835,-50.488351,-5.828029638753104,0.34311223473025937,0.447011,0.05654432492689655
0.8170285714285714,261.757757,32.84915508958345,-1.9453321518897866,-50.678286,-5.421130447729655,0.29786733705828183,0.452001,0.052928436662068964
0.8284571428571429,266.279217,30.725353963812413,-1.6896310920281281,-50.889652,-5.012617196408276,0.25590208446475604,0.461193,0.049255507415172414
0.8398857142857143,270.538693,28.566235307867586,-1.451156230902309,-50.904136,-4.603195560811034,0.2172266223957195,0.46325,0.04553733391448276
0.8513142857142858,274.912349,26.372393599630346,-1.230189276565393,-50.865045,-4.1938728962648275,0.181844206366984,0.465601,0.0418014311337931
0.8627428571428573,278.60921,24.146091715431726,-1.0270004445947434,-50.66993,-3.7854922244027587,0.14975064955061618,0.466043,0.03805429471448275
0.8741714285714286,281.717649,21.89241844530207,-0.8418303816586057,-50.385279,-3.37904120448,0.12093440199389599,0.470346,0.03428807357793103
0.8856,284.369706,19.61557606298483,-0.6748823651259649,-49.979007,-2.9753691245131035,0.09537652541549062,0.473553,0.030491646703448273
0.8970285714285715,286.628955,17.31898006922483,-0.5263290331514499,-49.357663,-2.575830186968276,0.07304921894338068,0.473049,0.02668434817655172
0.908457142857143,288.613033,15.005317121627588,-0.39631848058796615,-48.538862,-2.182083611933793,0.053912561512210425,0.466383,0.02290588788413793
0.9198857142857144,290.166286,12.677426784794484,-0.2849765754415844,-47.314399,-1.796555185622069,0.03791020187955815,0.450711,0.01921727256827586
0.9313142857142859,290.160397,10.343312843238621,-0.19238557302041953,-45.630913,-1.4227227307365518,0.024962044080797136,0.428102,0.01568262607448276
0.9427428571428571,287.251018,8.020924310631724,-0.11852334468843895,-43.296484,-1.0650506070786208,0.014956048145529489,0.399816,0.012352682780689656
0.9541714285714286,280.404876,5.73777315628138,-0.06318491460082706,-39.995047,-0.7300463251531035,0.007736044484305063,0.362002,0.00928859824551724
0.9656,268.187069,3.5312985195641384,-0.025904069074253903,-35.386716,-0.4268556756248276,0.003082904850831342,0.304687,0.006607129108965517
0.9770285714285715,248.140725,1.4545925232827588,-0.005850471445369,-28.519419,-0.16982079333517244,0.0006830309425729143,0.201338,0.004571861660689655
0.9997714285714286,113.51208,0.0,-0.0,-13.702829,0.0,-0.0,0.935356,0.0
