[element_types]
EulerBernoulliBeamElement

[node_ids]   [x]          [y]        [z]        [connectivity]
522          4.172172     0.0        0.0        (522, 523)
523          4.180180     0.0        0.0        (523, 524)
524          4.188188     0.0        0.0        (524, 525)
525          4.196196     0.0        0.0        (525, 526)
526          4.204204     0.0        0.0        (526, 527)
527          4.212212     0.0        0.0        (527, 528)
528          4.220220     0.0        0.0        (528, 529)
529          4.228228     0.0        0.0        (529, 530)
530          4.236236     0.0        0.0        (530, 531)
531          4.244244     0.0        0.0        (531, 532)
532          4.252252     0.0        0.0        (532, 533)
533          4.260260     0.0        0.0        (533, 534)
534          4.268268     0.0        0.0        (534, 535)
535          4.276276     0.0        0.0        (535, 536)
536          4.284284     0.0        0.0        (536, 537)
537          4.292292     0.0        0.0        (537, 538)
538          4.300300     0.0        0.0        (538, 539)
539          4.308308     0.0        0.0        (539, 540)
540          4.316316     0.0        0.0        (540, 541)
541          4.324324     0.0        0.0        (541, 542)
542          4.332332     0.0        0.0        (542, 543)
543          4.340340     0.0        0.0        (543, 544)
544          4.348348     0.0        0.0        (544, 545)
545          4.356356     0.0        0.0        (545, 546)
546          4.364364     0.0        0.0        (546, 547)
547          4.372372     0.0        0.0        (547, 548)
548          4.380380     0.0        0.0        (548, 549)
549          4.388388     0.0        0.0        (549, 550)
550          4.396396     0.0        0.0        (550, 551)
551          4.404404     0.0        0.0        (551, 552)
552          4.412412     0.0        0.0        (552, 553)
553          4.420420     0.0        0.0        (553, 554)
554          4.428428     0.0        0.0        (554, 555)
555          4.436436     0.0        0.0        (555, 556)
556          4.444444     0.0        0.0        (556, 557)
557          4.452452     0.0        0.0        (557, 558)
558          4.460460     0.0        0.0        (558, 559)
559          4.468468     0.0        0.0        (559, 560)
560          4.476476     0.0        0.0        (560, 561)
561          4.484484     0.0        0.0        (561, 562)
562          4.492492     0.0        0.0        (562, 563)
563          4.500501     0.0        0.0        (563, 564)
564          4.508509     0.0        0.0        (564, 565)
565          4.516517     0.0        0.0        (565, 566)
566          4.524525     0.0        0.0        (566, 567)
567          4.532533     0.0        0.0        (567, 568)
568          4.540541     0.0        0.0        (568, 569)
569          4.548549     0.0        0.0        (569, 570)
570          4.556557     0.0        0.0        (570, 571)
571          4.564565     0.0        0.0        (571, 572)
572          4.572573     0.0        0.0        (572, 573)
573          4.580581     0.0        0.0        (573, 574)
574          4.588589     0.0        0.0        (574, 575)
575          4.596597     0.0        0.0        (575, 576)
576          4.604605     0.0        0.0        (576, 577)
577          4.612613     0.0        0.0        (577, 578)
578          4.620621     0.0        0.0        (578, 579)
579          4.628629     0.0        0.0        (579, 580)
580          4.636637     0.0        0.0        (580, 581)
581          4.644645     0.0        0.0        (581, 582)
582          4.652653     0.0        0.0        (582, 583)
583          4.660661     0.0        0.0        (583, 584)
584          4.668669     0.0        0.0        (584, 585)
585          4.676677     0.0        0.0        (585, 586)
586          4.684685     0.0        0.0        (586, 587)
587          4.692693     0.0        0.0        (587, 588)
588          4.700701     0.0        0.0        (588, 589)
