2025-06-15 21:13:18,575 [DEBUG] 📁 Log file created at: \\mull.sms.ed.ac.uk\home\s1834431\Win7\Desktop\fem_model\post_processing\results\job_0010_2025-06-15_21-13-12-698996_pid39132_b4fcff10\logs\ModifyGlobalSystem.log (Module: boundary_conditions, Line: 82)
2025-06-15 21:13:18,576 [INFO] 🔧 Applying stabilized boundary conditions... (Module: boundary_conditions, Line: 100)
2025-06-15 21:13:18,577 [DEBUG] Computed penalty value: 4.48e+51 (Module: boundary_conditions, Line: 126)
2025-06-15 21:13:18,579 [DEBUG] 
======================================== System Diagnostics ======================================== (Module: boundary_conditions, Line: 171)
2025-06-15 21:13:18,579 [DEBUG] Original Non-zeros: 1204
Modified Non-zeros: 1398
Penalty Value: 4.48e+51
Stabilization Factor: 4.48e+41 (Module: boundary_conditions, Line: 183)
2025-06-15 21:13:18,590 [DEBUG] 
Matrix Sample (COO format):
 Row  Col         Value
 196  196  4.480022e+41
 393  387 -6.565378e+07
 547  553 -5.600112e+14
 542  536 -2.240011e+15
 272  278 -2.240011e+15
 595  589 -5.600112e+14
   9   15 -6.565378e+07
 454  454  4.480022e+41
 192  192  4.480022e+41
 575  575  4.480022e+41
 168  162 -2.000000e+11
 295  295  4.480022e+41
 399  393 -6.565378e+07
 456  462 -2.000000e+11
 177  177  4.480022e+41
  85   85  4.480022e+41
 457  451 -5.600112e+14
 397  391 -5.600112e+14
 540  546 -2.000000e+11
 369  363 -6.565378e+07
 138  138  4.480022e+41
 327  333 -6.565378e+07
 336  336  4.480022e+41
 235  229 -5.600112e+14
 462  456 -2.000000e+11
 159  159  4.480022e+41
  37   43 -5.600112e+14
 217  217  4.480022e+41
 289  289  4.480022e+41
 180  186 -2.000000e+11
 499  505 -5.600112e+14
 415  409 -5.600112e+14
 366  366  4.480022e+41
 427  421 -5.600112e+14
 572  566 -2.240011e+15
 411  411  4.480022e+41
 452  452  4.480022e+41
 325  319 -5.600112e+14
 560  566 -2.240011e+15
 290  284 -2.240011e+15
 313  307 -5.600112e+14
 276  270 -2.000000e+11
 195  195  4.480022e+41
 148  148  4.480022e+41
 561  555 -6.565378e+07
  82   82  4.480022e+41
 200  194 -2.240011e+15
 236  230 -2.240011e+15
 435  435  4.480022e+41
 596  596  4.480022e+41
 396  402 -2.000000e+11
  15   15  4.480022e+41
 125  125  4.480022e+41
 401  401  4.480022e+41
 279  279  4.480022e+41
 252  252  4.480022e+41
 213  219 -6.565378e+07
 141  141  4.480022e+41
 582  588 -2.000000e+11
 451  445 -5.600112e+14
