Global DOF,U Value
394,0.00000000000000000e+00
395,0.00000000000000000e+00
396,0.00000000000000000e+00
397,-1.17854785761432588e-08
398,0.00000000000000000e+00
399,0.00000000000000000e+00
400,0.00000000000000000e+00
401,0.00000000000000000e+00
402,0.00000000000000000e+00
403,-1.19640464333575508e-08
404,0.00000000000000000e+00
405,0.00000000000000000e+00
406,0.00000000000000000e+00
407,0.00000000000000000e+00
408,0.00000000000000000e+00
409,-1.21426142905718428e-08
410,0.00000000000000000e+00
411,0.00000000000000000e+00
412,0.00000000000000000e+00
413,0.00000000000000000e+00
414,0.00000000000000000e+00
415,-1.23211821477861281e-08
416,0.00000000000000000e+00
417,0.00000000000000000e+00
418,0.00000000000000000e+00
419,0.00000000000000000e+00
420,0.00000000000000000e+00
421,-1.24997500050004185e-08
422,0.00000000000000000e+00
423,0.00000000000000000e+00
424,0.00000000000000000e+00
425,0.00000000000000000e+00
426,0.00000000000000000e+00
427,-1.26783178622147071e-08
428,0.00000000000000000e+00
429,0.00000000000000000e+00
430,0.00000000000000000e+00
431,0.00000000000000000e+00
432,0.00000000000000000e+00
433,-1.28568857194289991e-08
434,0.00000000000000000e+00
435,0.00000000000000000e+00
436,0.00000000000000000e+00
437,0.00000000000000000e+00
438,0.00000000000000000e+00
439,-1.30354535766432861e-08
440,0.00000000000000000e+00
441,0.00000000000000000e+00
442,0.00000000000000000e+00
443,0.00000000000000000e+00
444,0.00000000000000000e+00
445,-1.32140214338575748e-08
446,0.00000000000000000e+00
447,0.00000000000000000e+00
448,0.00000000000000000e+00
449,0.00000000000000000e+00
450,0.00000000000000000e+00
451,-1.33925892910718634e-08
452,0.00000000000000000e+00
453,0.00000000000000000e+00
454,0.00000000000000000e+00
455,0.00000000000000000e+00
456,0.00000000000000000e+00
457,-1.35711571482861505e-08
458,0.00000000000000000e+00
459,0.00000000000000000e+00
460,0.00000000000000000e+00
461,0.00000000000000000e+00
462,0.00000000000000000e+00
463,-1.37497250055004375e-08
464,0.00000000000000000e+00
465,0.00000000000000000e+00
466,0.00000000000000000e+00
467,0.00000000000000000e+00
468,0.00000000000000000e+00
469,-1.39282928627147228e-08
470,0.00000000000000000e+00
471,0.00000000000000000e+00
472,0.00000000000000000e+00
473,0.00000000000000000e+00
474,0.00000000000000000e+00
475,-1.41068607199290098e-08
476,0.00000000000000000e+00
477,0.00000000000000000e+00
478,0.00000000000000000e+00
479,0.00000000000000000e+00
480,0.00000000000000000e+00
481,-1.42854285771432968e-08
482,0.00000000000000000e+00
483,0.00000000000000000e+00
484,0.00000000000000000e+00
485,0.00000000000000000e+00
486,0.00000000000000000e+00
487,-1.44639964343575872e-08
488,0.00000000000000000e+00
489,0.00000000000000000e+00
490,0.00000000000000000e+00
491,0.00000000000000000e+00
492,0.00000000000000000e+00
493,-1.46425642915718709e-08
494,0.00000000000000000e+00
495,0.00000000000000000e+00
496,0.00000000000000000e+00
497,0.00000000000000000e+00
498,0.00000000000000000e+00
499,-1.48211321487861562e-08
500,0.00000000000000000e+00
501,0.00000000000000000e+00
502,0.00000000000000000e+00
503,0.00000000000000000e+00
504,0.00000000000000000e+00
505,-1.49997000060004466e-08
506,0.00000000000000000e+00
507,0.00000000000000000e+00
508,0.00000000000000000e+00
509,0.00000000000000000e+00
510,0.00000000000000000e+00
511,-1.51782678632147385e-08
512,0.00000000000000000e+00
513,0.00000000000000000e+00
514,0.00000000000000000e+00
515,0.00000000000000000e+00
516,0.00000000000000000e+00
517,-1.53568357204290272e-08
518,0.00000000000000000e+00
519,0.00000000000000000e+00
520,0.00000000000000000e+00
521,0.00000000000000000e+00
522,0.00000000000000000e+00
523,-1.55354035776433126e-08
524,0.00000000000000000e+00
525,0.00000000000000000e+00
526,0.00000000000000000e+00
527,0.00000000000000000e+00
528,0.00000000000000000e+00
529,-1.57139714348576012e-08
530,0.00000000000000000e+00
531,0.00000000000000000e+00
532,0.00000000000000000e+00
533,0.00000000000000000e+00
534,0.00000000000000000e+00
535,-1.58925392920718932e-08
536,0.00000000000000000e+00
537,0.00000000000000000e+00
538,0.00000000000000000e+00
539,0.00000000000000000e+00
540,0.00000000000000000e+00
541,-1.60711071492861852e-08
542,0.00000000000000000e+00
543,0.00000000000000000e+00
544,0.00000000000000000e+00
545,0.00000000000000000e+00
546,0.00000000000000000e+00
547,-1.62496750065004771e-08
548,0.00000000000000000e+00
549,0.00000000000000000e+00
550,0.00000000000000000e+00
551,0.00000000000000000e+00
552,0.00000000000000000e+00
553,-1.64282428637147691e-08
554,0.00000000000000000e+00
555,0.00000000000000000e+00
556,0.00000000000000000e+00
557,0.00000000000000000e+00
558,0.00000000000000000e+00
559,-1.66068107209290644e-08
560,0.00000000000000000e+00
561,0.00000000000000000e+00
562,0.00000000000000000e+00
